sarc,text
1,Nice to see a single tweet with somewhat misleading info just running around everywhere today
1,"b careful what u say  Trying 2 GO THERE makes u look weak ,guilty &amp; an idiot."
1,it would be cool to get more followers with common interests
1,"No, it's totally cool that you're 2 HOURS LATE! It's fine, got my wine to keep me company.?"
1,Life keeps getting better
1,Rahul Dravid is so talented that he can get Morris to score half centuries.
1,Dennis Hastert: stand up guy
1,Rahul Dravid is so talented that he can even get Chris Morris to score a half century
1,last minute put buy to hedge my $DPZ into the fomc 
1,Oh no! Apple only had revenue of $50.6 billion last quarter! Clearly it's game over for them!
1,Got a drink thrown out of the window while being called a fag today. Maybe owning a gun would help?
1,tfw your team has the upperhand and then bot lane and mid lane feed 20 kills. Feels great right? I LOVE ranked. 
1,Got a drink thrown out of the window at me while being called a fag today. Would owning a gun help?
1,Nothing makes me feel better than looking at real estate I can not afford.
1,A big thank you to whoever decided to start shooting guns right by my house...and then stopped when I just got up.
1,You just can't be on the anymore. &lt;/sad-face/&gt;
1,"Cruz/Fiorina, McCain/Palin, Mondale/Ferarro. Go for it Ted. The theory worked out so well in the past..
"
1,"We survived comets, volcanos, ice ages, &amp; world wars, but car exhaust will kill us all."
1,"Judging from the last 2 high-end busts, we shouldn't ever have to worry about another April 26 severe wx event. There will only be 1."
1,G4S vans don't have to stop for pedestrian crossings apparently....  I didn't know that. 
1,"After reading a Reuters article, I found out that Arabic uses one word for Easter and Passover. Because they are SOOOOOO similar."
1,I just found out that Jim Gilmore has tabbed ME as his VP pick. Im honored.
1,"I like how the Sac Hmong, Mien &amp; Lao Professionals page ONLY post Hmong &amp; MSH events. I guess the last two groups aren't relevant."
1,"'And too bad if the bait gets killed?' 'Yes, that's why you use goats and not babies or virgins for that matter'"
1,"Violence sells, so what's the difference with rape? Sex and violence in one! Mortal kombat has their next game!"
1,"And finally an on time flight. 
That now makes 2 of my last 10 flights on time. 20% on time record.  
Yay United! "
1,"G-d: ""son, or me or us, I'm confused, why are you or is it me cursing a fig tree which I and maybe also you created"""
1,"I'm allergic to stupidity, I break out in ."
1,Doing the *lovely* and *exciting* work that is assigning vertex groups
1,When will Donald Trump name Meg Whitman as his running mate? Or is Kasich going to do that? $HPQ $HPE?
1,29 hours into my workday with 9 more to go and my coffee cup is empty. Gotta love the playoffs!
1,"I just read the pilot script to ""How I Met Your Dad"", and I'm shocked - SHOCKED I SAY - that it didn't get picked up!"
1,"Thank you Andromax, thank you..."
1,"All these years they make Jay some background character &amp; now they make him a supposed ""nonce""?! THANKS WRITERS."
1,$NQ_F never take out 4402.00... 
1,Can't wait for the NFL draft tomorrow!
1,lol love when my friend invites me places
1,"Damn women, next thing you know they'll be wanting to be called ""people"". ugh."
1,Hi. Only just met you but what size are your tits?
1,Damn this Cruz/Fiorina ticket is gonna be a powerhouse!!
1,Cruz names Fiorina as his VP pick. Well that's a game changer.
1,All the feminists are suddenly turned on by third place finisher Ted Cruz now that's running with a strong woman!
1,"Oh good, more Carly Fiorina. Can Carson &amp; Huckabee come back too?"
1,My favorite class with my favorite professor over my favorite topic...
1,"In order to win the primary, Ted has announced he is running with Fiorina 
"
1,Thermometers lie! is real! Believe scientists &amp; against lying thermometers!
1,"Jose Berrios is pitching for the Twins tonight (weather permitting).
"
1,"Candidate that most represents Cruz's values other than Cruz, survey says Carly Fiorina"
1,"Tell your friends - back to back escalated calls are some of the best fun you can have in a call center!
"
1,Getting that sweet block today.
1,My luck this week is just phenomenal.
1,Thx Nintendo for pulling a Twilight Princess on us!
1,OMG did y'all know that Cruz chose Fiorini as his running mate?
1,and the other people who normally vote are voting for no one since there aren't any great candidates
1,People that cover their cars with bullet hole stickers are the worst. Especially when they obviously have kids.
1,Are Ann Coulter and Sarah Palin the same person?
1,trying twitter.  my first.  feel like I need something else to do during my
1,"Please, I would LOVE for you to interrupt my reading to tell me you're a moron. PLEASE."
1,"Saw the company Dr about my elbow. It's improving, but they want me off one more week. They gave me a gorgeous arm brace"
1,"No, my time isn't valuable."
1,The recent spell of cold weather is because the almighty is fearful of BREXIT. Perhaps we should offer a blood sacrifice for pro EU
1,Can cross wearing my shoes backwards while receiving an award on stage off my bucket list
1,"I know WWE want Gallows &amp; Anderson over, but sending in Roman Reigns is too much."
1,"I think it's safe to say I've watched ""Frozen"" with the girls so many times that I could perform it with sock puppets."
1,It's ridiculous that how so many ppl literally worship an ignorant man known as Donald Trump it's like Jesus walks the earth again
1,Can't contain my excitement.
1,I know the earth is flat because scientists said so &amp; they're never wrong.
1,"That was a fun allerigic reaction
"
1,Like the good old days....
1,My sources are telling me the patriots wanna move up to 8 to draft paxton lynch due to the tom Brady suspension.
1,No vision or hockey sense for Drouin eh......
1,Nothing better than your HH members being in a fucked up mood after a long day !
1,Possibly the will trade down so much they won't even pick this year...... 
1,well today was just perfect...
1,", not is the of life."
1,What a period by the Vezina finalist lmao
1,Good thing Ottawa dumped Shane Prince. Such a liability.
1,is that they think this hashtag is for positive things only never thought of :D
1,But Brutus is honorable man like super honorable the most honorable man I know
1,But Brutus is an honorable man like super honorable the most honorable man I know
1,"The news out of my home state in the last few months has been just stellar. Way to go, TN!"
1,"If only Harper hustled more, he'd be so much better and play the game the right way"
1,How DARE media outlets post negative stories about the Goddess that is Hillary Clinton. Bow down and know your role!
1,Reading government rules and regulations is so much fun.
1,"Glad to know I just recorded a half hour of weather coverage instead of like I wanted. Thanks Storm Team!!
"
1,"After all of the crap he's said already, now he pulls the woman card. What took ya so long, Donald.."
1,"Is the NFL Draft tomorrow? Boy, I wish ESPN could have a little more coverage of this."
1,Much rather have Sano in RF....
1,Yea not a 3rd Baseman......  
1,Today just keeps getting better....
1,"- the League of Nations broke up, that's too bad"
1,Can't wait to watch the Reds bullpen for 3 or 4 innings!
1,London's going to the finals again......greeeeaaaat!
1,Wow last night at Mars Hill I'm so sad.
1,2.5 miles of cardio and my knee feels great!
1,The bullpen just keeps getting better
1,"It's said that is the lowest form of. To that I say ""No, really? Hey, somebody give this person a!"""
1,"Wow! Jules really has been an exciting addtion. 
 "
1,My baby and I survived a trip to the restroom. I was so afraid a man might come in and sneak a peek at her poopy diaper.
1,Let's be happy people!
1,"""To write this story, don't read the novel, just watch the scene""
Great, because I absolutely didn't watch this movie ten years ago"
1,"Bobby Knight, Rex Ryan, Dennis Rodman &amp; John Daly have endorsed same guy for president. That's a group of guys I gladly get behind."
1,Oh hey look it's killer frost yay.
1,Hahaha yes great defense!!
1,Horrid officiating in a big spot in Miami. Surprised the home team is getting the calls in the NBA.
1,Amazing Series Boys!  Love the heart and drive being shown thus far!
1,The angry birds movie is coming out on my birthday. I'm honored.
1,Courtney Lee. Thanked Jesus. Can you still do that!?? Is he a bigot!? Maybe a fine from the NBA is coming.
1,the timing is just... great.
1,The best part of having 2 cats is that you find bits of cat litter in new places...like on the printer &amp; washing machine.
1,"So I had dinner at Moxies tonight (yeah, first mistake). Did you know that margarine doesn't have dairy?"
1,I'm so glad I have to miss the game for this Golden State Warriors scrimmage
1,"I'm told the isn't equal to the Man Card. Makes sense, so it's worth more, right? No? But it does include catcalls."
1,A Romanian whose all around potential is limited by her bars? What!?! Never would I expect that
1,"""Oh man I sure hope he doesn't bomb Strega next..."""
1,Best thing to wake up to: having a big sneeze that makes you bite your tongue...
1,"I'm SO happy that ""conspiracy theorist"" is again being trotted out as a way to silence dissent."
1,Really felt bad for Kesler when he fanned on that chance in the dying seconds
1,Man it's a good thing I didn't bet money this year. Thanks for nothing LAK/CHI/ANA
1,So glad the rockets got rid of Mchale that worked out so well for them
1,Cant wait to watch more entertaining hockey from the Predators this post season
1,baba too seems to be &amp;  agent.
1,"It's said that is the lowest form of. To that I say ""No, really? Hey, somebody give this person a!"""
1,before it wakes up the deluded nation
1,Quiero ponerte como que mi mundo de cabezas
1,When your legs kill and you realize it's leg day again tomorrow :'(
1,It's the Problem Management meeting at work today! Oh joy!
1,I'm having nightmares about Kate dying and Castle not caring one bit. Thanks a lot.
1,"Vegetarians have no problem eating chicken fetuses. Monsters.
"
1,An error where Dope brown skin checks were in 
1,Guess Jules is so thin cuz she just DISPLAYS food not eat it!?!
1,I really like my internet banking. So many fucking animations and I still have no idea how much money I can use.
1,Apparently my is not appreciated by those that are not as chipper as I am at 8h59am.
1,Apparently 50% of all smokers die. So does that mean the other half live forever? Thinking I should take it up then...
1,Hate it when people are late. I'm never late.
1,So supreme is the white man that a visit in 1652 is still impoverishing blacks in 2016....
1,Cannot sleep... Must be coz I'm so excited its my last night shift tonight!
1,"Get out of here ..what is that ?
The Padackles were spending they day together again yesterday you say?
Nah ..you lying
Really?"
1,"HR be like
Why should we hire you

ME always
Because the company needs someone who knows why we should hire people"
1,"HR : it says in you CV you are quick  at maths, tell me what is 37*17
ME : 43
HR : that's not even close
ME : but it quick"
1,Okay. The third showed up. She looks like a god damn ball of sunshine.
1,Does masturbating make you a little gay?#
1,"""SJW: I have armpit hair, I don't wear deodorant and I fucking love Satan!""

Oh, bravo! I think you can be the next President of USA!"
1,"Now that my iron levels are depleting..I should regain strength be fine in no time.
"
1,"Hey, hi. I'm here to look pretty and insult your intelligence. [insert something insulting to your intelligence and hairflip here]"
1,Modi shld learn from AK..the wayhe acted against sheila dixit and now shes rotting in jail thanx to AK..#ModiProtectsSonia..#
1,Well it looks like I'm done sleeping today. Thanks Gracie!
1,"everyone! Most favourite day of the year! Ed, what a guy"
1,"Yes, I totally wanna smell nail polish while eating my lunch. Yup, there's nothing better. Yummy!"
1,How did OJ Simpson go in trying to track down the murderer(s) of his ex-wife? Did he get any good leads? We never did hear that.
1,"Io vorrei, ma escono continuamente episodi di tv, se non le guardo ho  che si offendano!  "
1,Cognitive Distortions....it's so much fun sometimes.
1,Congratulations Madamme Korina Sanchez Roxas the next First Lady of the Philippines!!!
1,"My parents: What's ours is yours (house and cottage), but you need to obey our rules.
I fucking love living under my parents house."
1,Buy tons of $FB here people!  The only stock that went up after earnings!!!! Msg from ur friendly $JPM
1,"A trash collector just hit on me, it's gonna be a good day."
1,"So, Teebillz took down all suicidal posts from this morning... after it has been blitzed across social media. Very smart"
1,Thank god my anxiety doesn't go to my stomach or else I'd be one uncomfortable Tina
1,PPAP PPAP PPAP PPAP PPAAAAAAAA I'm loving it
1,so ecstatic im second session. i get to hear about how horrible it is before I take it!
1,Donald Trump the next Donald Reagan?
1,"John Kasich and Ted Cruz are mathematically eliminated from winning on the first ballot, Cruz's response name a VP, definitely"
1,"Kasich's response, down a buffet"
1,When you are done playing with it can you return a piece of my heart back? No rush you've got time.. :p
1,Thank goodness I don't have a boyfriend at the moment. God knows I need all the attention I can get. LMFAO
1,Loving the Jays bullpen so far this year!!!
1,Pretty crazy notion that we could live in a world where everyone felt welcomed. Why even bother
1,I love when people gloat about their grades.
1,nothing can get me going as much as a Pitbull song.
1,So glad Anderson has watched these last 5 min from the bench. Thanks Rick Carlisle.
1,At least the Ducks are really good in game 7s at home.
1,OMG REFS ARE HANDING BLUES THE SERIES WITH THAT CALL!!!!!!!!
1,Yea! The preshow is a GREAT way to elevate the US title!
1,I don't know who Tyler Collins is but he's endearing himself to fans one obscene hand gesture at a time
1,Doc Rivers has his team coached up and ready to play. 
1,So was Justin Bieber in Michigan today?
1,To cheer for a team that I don't care about or to cheer for a team whose continuously scratched my fave?
1,The amount of money I won on a daily basis is enough for me to visit the moon
1,Way to piss away a power play opportunity Blues!
1,Mavs probably thrilled that Cuban lit the Westbrook fire. Dude thrives off that stuff.
1,"It's said that is the lowest form of. To that I say ""No, really? Hey, somebody give this person a!"""
1,So if Jonathan Toews doesn't go play for Canada at the Worlds do they cut him from the World Cup team?
1,Having a relationship with no communication must be the way to go these days...
1,"Christ-likeness = discourage one another, harsh jokes and pride. Wow ~.~"
1,"Wow I really enjoyed my 3 week summer, longest summer vacation ever"
1,When you get a free gift for 8 ball.
1,Looking forward to tomorrow's 5am alarm
1,Today a patient told me she put garlic in her ear because her ear hurt. I can't believe that didn't help.
1,New diet to lose 15 pounds in one week! It really works! How??? Your Roomate eats all your food! It's as easy at that!
1,Rollin' home from work at 10 at night
1,"My Girlfriend: ""You're a horrible person""

Me: ""I know. It's part of my charm"""
1,"Then it was dead quiet as Strickland walked off the field except for a few scattered catcalls ... good job, Hunter."
1,Breaking# Prince's funeral due to be held in North Carolina. Men wearing eyeshadow will not be allowed into the church.
1,Applause for those in New York that just blew that call...
1,"Finally, my phone at work has been cleaned! It's only taken 2 months for the cleaner to do it. is"
1,": I REALLY like how at 25,940 power, you're still weak."
1,You know you're an engineer when you say budget is a debate show on news channels.
1,Frank Field doing his part to bring unity to Labour.
1,"Here's to another busy week, woooo!"
1,Ok. Nobody do anything dangerous - hospital emergency rooms are being staffed by consultants. Loads of them.
1,"I'm so glad that Adelaide got a new gay bar &amp; in the first month have decided to host an event titled ""Tr**ny Trivia""."
1,"Think less, expect less and be happy.

As if it is in control."
1,High Regard for oneself is....  : )
1,I wonder if the producers ever prompt the girls with what to say?
1,I like people who underestimate me bcoz i like to watch their faces more than usual when they see real me.
1,It's lovely outside isn't it.
1,Client think that they have a wonderful scheme and condescending my scheme. It's so wonderful that it doesn't work.
1,Classes finished. Now only 4 exams to revise for.
1,Hey I'm walking down the street listening to music minding my own business. By all means stop me &amp; try convert me to your religion
1,Mas mabuting manahimik na lang kay sa makalabas ng masasakit na salita!
1,Karti Chidambaram shud 1st Learn how to Change Affidavits. That shows true Loyalty to Nehru Gandhi family.
1,Sunshine today! Full inbox too! :) WoW! I've new sign-ups that actually want to communicate &amp; not just push buttons! It's a dream!
1,Ahhh the moment you've realised you've fucked an assessment up after you handed it in. No better feeling really
1,All the weather if the year seen in one day..
1,"Super tolles WG leben miteinander.  

Wer will tauschen?"
1,Gramps is in a foul mood today. How dare the Junior Doctors and Southern conductors strike? 
1,You know what makes this traffic jam at 6am soo much better. The country music my roomate plays. I'm in heaven
1,Hooray for going food shopping after work
1,Grabehh! ang bilis ng wifi.... kasing bilis ng snail..-.-.. tsk. tsk.
1,Remember that quarter-Filipina actress on that pilot episode of a US TV show that never got to air? I did.
1,Totally shocked a US Ct App found there were zero limits of the leaders power over its people
1,I'm glad the Court of Appeals is tied up with Tom Brady.  Who says our judicial system is broken? .
1,The Cold War was also so much fun!!  Can we bring that back??
1,"When I woke...the day ahead seemed ominous and hopeless.
Then I realized it was."
1,"Grammer : 
The difference between knowing your shit and, knowing you're shit.
"
1,"Wag na sana sila magkaayos, iba na sana mahalin nila. "
1,Snow in Milton Keynes in May. Winning..
1,Anyone in my TL using eazyBI JIRA plug-in? I'm sorry about you too. ^_^ :P
1,apparently don't understand.
1,Today is a fun rainy day full of architecture classes. Fun fun fun fun.
1,"It's said that is the lowest form of. To that I say ""No, really? Hey, somebody give this person a!"""
1,"Yay, its snowing again. Because Sheffield clearly never gets its fair share."
1,You know you're a library page when parents assume that you're a free babysitting service for their kids.
1,Ladies don't price yourself out of the dating market
1,Oh man I love getting a cold on my birthday it's the best.
1,Love it when government uses outdated puritanical laws to infringe upon. Dark ages here we come again!
1,I seriously need 2 c penguins b4 the day is over!
1,Words can't describe your beauty ... but numbers can... 2/10 ...
1,How the f did I not realize that?
1,I am glad that the mayor's race in Baltimore hasn't turned into a shitshow.
1,Well today is off to a great start
1,When you're vulnerable with someone and they just fuck you over and make you feel like shit
1,Great today will be awesome.... 
1,"To be honest!
It take girls 7-8 days to fall in love with a boy! &lt;3
.
Boys just 0.083 seconds. xD"
1,"It's said that is the lowest form of. To that I say ""No, really? Hey, somebody give this person a!"""
1,Sure let's stick my arms four times to draw blood...I live for it.
1,Another say of showing how brilliant I am
1,Another day of showing how brilliant I am
1,I'm so glad everything from lecture is so relevant to the textbook
1,my father is a good listener
1,What about a Nintendo Cinematic Universe that leads up to a Smash Bros movie? Think of all the $$$
1,So i forgot that an assignment was due last night. Cool. This is fantastic.
1,"JaMarcus La Monica was pick for 1st son's name until Mrs. Buzz said no. Seriously, good look to Russell &amp; any team that signs him."
1,Looks like a lot of jobs in the entertainment industry will open up if Trump is elected!
1,I'm really glad I packed my Winter clothes away
1,I love it when the weather takes a nose dive... it's always amazing at how my body crashes.
1,Loved how I learned no math in high school what so ever. Really prepared me and made college super easy.
1,As Safety Director of a local company. I want to thank all the local weather people for inciting panic across the state today.
1,"i sneezed at my desk at work 
me: ""i'm allergic to you, get out""
my coworker: ""you dont need to tell me twice. byeee"""
1,6 ragequits in a row.  5000+ points every time.  Street Fighter V sure is a fun game!
1,The arrival of Ashok Dinda in the team seems to be reviving Pune's fortunes!! Lmao!!
1,just when you think it stops it starts again
1,Thanks for all the mini camp updates media.
1,Moving offices next week...fun times ahead!
1,today i will use for any 
1,Which is also why I'm such a fan of or - by default it's at least 2 layers deep
1,So apparently traffic was bad in London today.  I'm sure it was because of all the people headed home from church. 
1,Well this is a well played baseball game so far
1,If threre's a film that deserves to be on every day it's Hope Floats.
1,"And now i feel nauseous, thanks Oreos! :D"
1,Alvarez showing the wheels
1,Sunday afternoons spent in the ER are always awesome.
1,Alright Manuel. And against the much ballyhooed pitching. Hmmm....
1,Wow I'm so glad to be back in Indiana
1,Matsuyama the greatest talent ever produced by Japan? But what about Ryo Ishikawa?!
1,without my sibling...yay:)
1,If only had a gun with him. Nothing would have happened. More guns are needed in the US to increase personal safety
1,esta jugando muy bien... a los arbustos...! Desde ayer anda entre ellos
1,"Another Day, Another Loss. Maybe We Can Get A Heated Draw From Rock Bottom, Relegated Side.. Aston Villa !!"
1,How did I know Will Smith was murdered by a brother.
1,Couldn't have happened to a nicer rider...
1,Today is going to be one of those great days...
1,Oasis were an amazing band 
1,Because everyone knows it's morally wrong to recruit football players across state lines
1,Yeah... Hanley Ramirez is totally a bum and a cancer and the Red Sox should really be looking to get rid of him right now....
1,I guess he can't do it all after all..
1,Lavemos trastes porque es bien divertido 
1,"the title of my weekend is "" I Tried"" ...living"
1,Getting stalked is an awesome feeling
1,Hooray. Hank Conger. My hero to think I was excited when they signed him
1,Showertime! Oh the dread. Makes me want to go to the fire station and ask them just to hose me off.
1,Preparing myself to part with a large amount of cash. Thank you IRS for teaching me that I can save $$$.
1,Getting ready to watch the new Statham movie Wildcard.. I wonder what it'll be about
1,And I have to write an essay...
1,Oosty just showed why Aces are pure skill and no luck!
1,Woo hoo! 5am start and a trip to coventry for 2 days. Woo hoo!
1,"Well, at least it was close..."
1,Yo if 3 people can get a hole in one on the same day maybe the course just isn't very difficult?
1,"Arsene Wenger hit with a cover of a George Graham B-side. The original still sounds better. 
"
1,first team to kick the extra point or go for two point conversion wins
1,If we can allow corrupt lunatic and self centered people to rule us what's wrong with calling himself an!
1,Lmao I love homework.
1,Let's start out this year 0-6! Yay! Go twins!!#worldseries2016
1,"Yep, these guys are definitely as good as tiger was. Yep, he surely just played weaker competition during his run. Lolz"
1,Even I'm smart enough to drop OVER the water after you hit into it the first time. Dummy.
1,Congrats to the their current 6-game losing streak is 1 more than than all of last season. 
1,It's raining. I really wanted to mow to day. Damn.
1,"Nothing better then watching the, and looking outside to see it snowing."
1,Voracek-Weal-Umberger may be the secret combo to win us a cup.
1,Mariners bullpen looking just like last years.. Exactly what I wanted to see
1,Approximately 8 hours till the alarm goes for the start of the summer term. Oh joy.
1,Story didn't do it yesterday so I am not impressed with this one today.
1,"If you don't like what I suggest, by all means, go back to what you were doing. Seems to be working really well for you."
1,My allergies are finally kicking in. I feel so alive :D.
1,"It's said that is the lowest form of. To that I say ""No, really? Hey, somebody give this person a!"""
1,"The Mariners ""closer"" is in the game. I feel better already."
1,Baseball is so boring.  The bottom of the 10th proved it.
1,"It's so awesome that Mazara, Mallex and Kepler get called up on a Sunday in a weekly league where I've already spent my moves limit"
1,"If anyone needs me, I'll be in the bathroom. I'd strongly suggest that you don't need me."
1,"Swept at home. Dipo era off to a nice start,"
1,"I feel bad for Jordan Speith. Poor guy played golf all weekend and won like 850k. 
"
1,Yes please keep making out and cuddling while waiting in line at Blaze. Definitely increasing my appetite
1,I bet is pumped to be putting the on Willett.
1,10'- believe it or not there hasn't been a goal yet
1,Yeah it's pointless to celebrate national sibling day... Clearly my siblings don't count me as a sibling!
1,"Want know what failure looks like, look at the box office of BvS. It didn't make any money whatever. Failure"
1,Hope the Flyers go to the shootout so they can practice for the playoffs.
1,My text messages would make more sense if there was a font.
1,Sometimes it physically hurts when I have to hold in my astic comments. 
1,Adultery looks great on a teachers resume doesnt it though
1,Thx everyone for likin my pic!!!!
1,I love it when the opposite stop light is green and there is no traffic coming from that direction
1,I totally wanted to go through my entire music library to reassemble my iTunes playlist today. Didn't have anything else to do.
1,"Oh snap, Leonard was playing ?"
1,It's Monday again. Haaapppeeeeeee
1,Man people are showing me love left and right
1,Warriors beat Spurs. T-Wolves beat Warriors. So thus the T-Wolves are better than both :) 
1,I was anticipating the masters so heavily that now that it's done I don't know what to do with myself
1,also. i love it when teachers give you an assignment and just let you figure out how to complete it
1,Someone in seat across from me went to Mumford &amp;Sons and shockingly the other guy did too!  Wow!
1,"Did the Warriors win?  I haven't seen anything on ESPN.
"
1,"""Why do you hunt?"" Because I love to kill helpless beings duh"
1,"Oh my, I apparently missed a barnburner at Yankee Stadium."
1,"Oh darn it...I missed this weekend. 
 

Sorry...I've never been a fan of the joke that it is.
"
1,what have i ever done to be so grateful to feel this way ?...
1,"Wow, today has just been the greatest day."
1,"But, but DC is supposed to be dark, brooding and evil. What is this Marvel?"
1,"My tatoo says ""i am fine"" so i must be fine . 

Tatoo is the expression of my soul .Fu%$ you."
1,gonna be a jolly week
1,"I don't call people ugly names on Twitter, but if I say something&amp; then block you; you can assume that I may think you're stupid."
1,today I dont just have a screw loose but seems whole tool box is missing
1,You don't smoke? Wow. How fascinating.
1,Pinch-hitting Ruf for Howard in the 6th inning paid off well today.
1,I wish they would play that G-Eazy song on the radio a little more. Because 74 times a day just isn't enough.
1,Johnny Manziel is living with Josh Gordon. Perfect way to get your career back on the right path.
1,"If at first you don't succeed, quit. Ain't nobody got time for that."
1,I feel bad for Josh Gordon cause they should definitely have warned him they would drug test him before being reinstated
1,"I love it when guys discover Me, like 50 of My tweets and then never tribute Me. 
It's just the best. "
1,"Supreme Court, Bicameral Legislature, President. These branches make up our government. And SOMETIMES, SOMEBODY shuts it down."
1,well this weekend should be funnnnnnn!!!!!
1,"We need a comprehensive transpo bill &amp; addl staffing for critical HHS services, but let's celebrate a Fireworks Freedom Bill"
1,Shoutout to all 0 of my friends that came to visit us at the hospital after my second child was born! Dad too!
1,Snowing in spring. Love living up north! :)
1,Good speach on foreign policy Bernie.
1,"Everyone in town is under the spell of Myriad, except Gen. Lane, Cat Grant, &amp; Maxwell Lord. Terrific."
1,Look at Cesaro not connecting with the fans.
1,Manziel moved in with Gordon. Glad to see he's on the path to recovery.
1,Way to go Lester.
1,Josh Gordon should've just beat up his girlfriend. He'd been back last season.
1,"Riveting journalism there....""high heel detox?"" Can hardly contain my excitement!?"
1,Glad that Maryse was successful outside of 
1,Psst~!! Saya tahu awk PANDAI dan saya nk jgk awk tahu yg saya nie PINTAR!
1,Oh Boy! Dr. Phil is on!!!!!!!!!!! Do you sense how excited I am?
1,"Well, at least he passed secrets to both AND the. We wouldn't want our traitors playing favorites!"
1,"jonathonrocco: megandrummy Sorry but I did horrible in Geometry :(   But, ya know, I'm going to use it every day in life....right?"
1,"Fact: some people can only be described as ""should have been a blowjob..."""
1,Apparently security personnel in Salem is just as efficient as it is in Genoa City. 
1,Mom 'God doesn't give you more then you can handle' me: 'then why commit suicide'
1,Nothing makes you appreciate the finer things in life like Best Western
1,"Looks like I'm going to be home for the summer, oh joy."
