body,sarcasm
"You didn't bother to read the link, I see, which said:   ""During the 70-year Babylonian captivity, from 606-537 B.C., the southern kingdom of Israel, Judah, had lost it's national sovereignty, but retained it's tribal staff or national identity.2 It is very significant that in the book of Ezra we read that during the 70-year Babylonian captivity the Jews still retained their own lawgivers or judges.3 The Jews maintained their identity and judicial authority over their own people even during 70 years of slavery. The scepter had not been lost during the Babylonian captivity.""",1
"Just because you don't hold the same beliefs as we do, does not invalidate our belief. I feel sorry for you if all you have to believe in is a small petri dish of algae. You do need absolute proof if your going claim it as the only possible way of creation.",1
"Oh! I get it! abortion is fun, it is only a traumatic experience (to kill your unborn son/daughter) for ""unbalanced"" women",1
"--------------------------------------------------------------------------   True,true,true.Iff God created man in his own image and i look like God then God must be in a lot of trouble.",1
Yes that actually did happen. And knowing our nanny state government where anything that could cause harm is banned we have it banned.   BTW do any of you know of some great airsoft fields over in USA?,1
"But that is a misunderstanding of what the big bang theory is. What it isn't is an explosion. I don't suppose you have actually studied any astrophysics or astronomy upon which you base your rejection of the big bang, have you?",1
"So, whether the embryo/fetus/whatever-you-want-to-call-it has rights seems to be a non-issue. Because, for pro-choice folk, even if it has rights, it still is preferable to ensure that it can be legally killed.   Of course, it is obvious to everyone that an entity does not need rights in order to have legal protections. But I'll let that slide for now.",1
"Okay Yankee Fan. Keep pretending that it doesn't. Well, if you never read the article, you wouldn't be pretending as that would be an argument from position of ignorance.",1
"Way to miss the entire point, Clerisian.   My point was that is it a horrible experience for many women, and that I wish we could strive towards a society where abortions were no longer needed. Wishful thinking by a midtwenties female who just went through the most horrifying experience of her life, forgive me if I didn't clarify well enough.   I can't imagine that anyone would disagree with that.",1
"Oh, gee! There goes my irony meter. It pegged and started smoking at the end of the first sentence. Archy is just being christian by trying to impose his twisted morality on everyone.",1
Actually not.,1
So are you saying that the people of India aren't upset about what happened and how the police chose to hide instead of engage the enemy and thus let hundreds of people be violently murdered? Are you saying that the people of India aren't seeking changes so they can arm themselves accordingly so if something like this happens again they'll be better prepared to handle it?,1
Link me to one saying weed 'addiction' is worse than alcoholism please.,1
You mean like how you suck any rationale thought or discourse from a debate topic? Talk about ABORTING.,1
"Not much of anything else either, it would seem.",1
"But...but...   I just swallowed 56 zygotes so that they could vote by proxy through me for the Ripofflican(tm) party this upcoming election so they can win. Now I'm going to have all that indigestion for nothin'.   As to driving...don't care.   What I'll miss most is all of those credit card offers that come in their names. There's just so much that they, living though me want to 'buy now and pay later' on. You saying they can't do that?   But, that's just the argument Chem99a and I are having in another thread.   And this is what it devolves down into.   Parasite attached to a human and one that's coaxes it (often with governmental support) to nurish it...not much difference.   Personally, I'd rather have the sucker permanently attached to me so I'm not forced to think about feeding it or changing it's diaper. I'd also take a kick to the ribs over cholic crying.   Silly neglegence laws...   Yep.   I do think some would be willing to work towards compromises that would make the most happy. Jitobear seems to be one from my observations.   But, others want it their way.   I dislike abortion but can see in some circumstances that there really isn't much of an alternative. I also see that most anti-abortionists often don't help to provide alternatives.   I don't want to make it illegal per se but do want to work towards reducing the instrances in which a woman would see it as a more viable alternative.   It'd be nice if society and science would progress to that point.   But, since it isn't and since I'm evil(tm), kill it.   Go ahead...be a murderer.   Muahahahaha.   Evil WINS!   Go evil, go evil, go evil...   Um, isn't evil subjective?",1
So you think Zeus and all the other Greek gods exist?,1
"You need to learn what a metaphor is, if english is your first language you must have been dropped out of school as a baby.   When the researchers say plants ""know"" they are near their genetic cousins, they don't mean they have a conscious awareness of it and deliberately alter their growth patterns. That is, it is a specific physical response to a specific physical stimuli, and the plants could be made to do the same thing by the presentation of the same stimulus in the absence of any other plants.   Of course, you aren't interested in testing things, because that would be too materialist for you. You just prefer to skim articles and fail to understand metaphors, that's true ""psychical science"".",1
Because parents of children without Downs never die prematurely.   C'mon Simone.,1
So montalban. Why don't you tell us about creationism. What is the theory? What is the evidence? What predictions can be made.   We can assume that since you haven't responded to previous requests that there is no theory and no evidence. It is only superstition based on childish mythology.,1
And you have a right to cling to superstition and magic as true. But that doesn't make mythology true.,1
Golly gee. Scared already?,1
"I see you Americans deal as loosely with the French and Spanish languages, as you do with English!   Surely it is something like Viva Libertad , or Vive la Liberte, but Viva La Liberty         ?????   Leo",1
"**   Back to the dark side,eh, and 'argument by personal attack upon the character of your opponent'?",1
"what about to d-y-k-e-s marrying each other, would you call it ""butch-ery""?",1
"what other forest? By your logic there would only be one left in the entire world, and it would be what, the size on central park?",1
"And that's what scientists will do. No change there, then.   Now, on the subject of long-held religious views, how many so-called Christians will have a rethink when presented with new findings?",1
Since when was having the gov't recognize a marriage a human right?,1
"[quote=zsu2357;361463][quote=Penfold;361428]Wrong. It is a precision machine designed to kill effectively. It can be operated by other than human means.   Yes, you would be wrong.   No, they don't.   True, but nobody suggested there was such a grey area.   We accept your word.   I have never seen this, do you have examples?   So far as I am aware, nobody but you believes this to be the case.[/QUOT   ET phone home, fed-ex just delivered your case of 9mm shells lol.",1
And your Orwellian position is showing.,1
Well bravo for you - they must not be all that good considering. Or did you simply learn to be deceptive yourself and confuse that with deception by others? Who can say?,1
Can your intellect explain infinity...such a tasty word,1
Just like you did with your astounding ignorance of erosion?   Fresh Organic Sample is just as old as centuries old time capsule because they are both on top of the ground!   Where do you buy your South American Villagers Dinosaur commercial art? I'd love to give some to the kids!,1
"wow, I never thought a qoute would be so stupid as to compare it to a house. Fine then what if I compare your head to a house that is housing ur brain. But it would be perfectly legal to rip it out and steamroll it on the street for allto see.   (by ur rules of course this would be a perfectly acceptable thing to do)",1
"Here's some advice, if you're going to try and crack on me, make your 'jokes' (I'll be nice and call them that) less passive and more active, grammar-wise.   Crim-   A definition is the meaning of word that someone created using their own opinions. Is there a difference?   And, a circle could be called a circle in the English language, but I could make up a new language in which a circle would be called a square and a square a circle.",1
And if that was the accepted rule for Constitutional interpretation we would still have Jim Crow and the 14th Amendment would be as useful as the 3rd.   Total Fail on your part again Galileo . . .,1
"And by old fashion I assume you mean Greece a couple of thousand years ago. That's the only place and time I can think of off hand where the populace (by which I mean landed men in this case) could vote to change laws. In this country the correct procedure for a citizen to change an unjust law is via the courts, and always has been.   However, I don't think that is, in fact, what Jyoshu was refering to.",1
What about speculative and theoretical sciences? Is a circle 'real'?,1
What about them? Is this a question?,1
^ This is the funny part!....   My answer:   .45acp strapped to your hip... .05 seconds to respond to threat...   Crocidile Dundee's answer:   Call the police... 1-30 seconds to get to the phone.... 1-3 seconds to dial police (if you have 911) 30 Seconds to 5 minutes to splain yourself..... 5-30-??? time for police to respond..   My analysys:   Your dead!!!   Having the logic bus mow you down:   PRICELESS!!   (sorry Kelvin... COuld not resist!),1
"Oh, I don't know. Grow food in a garden, gather it from various wild sources, hunt game animals in the forest.",1
oh brother.. so what if a minority of americans wanted to legalize murder.   this is rediculous.,1
"So it's the scientific community that sets up communication within a society, and then the dumb old common peasants come along and screw it all up? Hahaha – sorry but I'm not convinced.",1
"Hehehehehehe. That made me laugh, but you actually make a good point. They should have I AM JUST A THEORY written on them, otherwise kids will regard them as fact and then where will we be?",1
Do you want them all dead?,1
"I don't have to say anything here, your post made it sound sick enough. Yes, freedaom at all cost. Isn't that the theory this country was founded by?",1
Well all you have to do is tell us the minimum time during which it could happen by NDS theory and then how long it actually took and we can compare the numbers. Of course you will have to detail how you arrived at both sets of numbers. Enjoy,1
You mean like they are happy wile having sex?,1
"I believe my wording was ""very rare"". Please do not exaggerate my statements by mis-quoting me.   But as you have mentioned it, care to produce some figures on the frequency of partial birth abortions? Its just you have a habit of making over-inflated statements to support your arguements.",1
"You claim god is unknowable (partially or otherwise, it does not matter).   You claim to know something of the unknowable, thus, you make a self-contradictory statement. Again. For what...the third time? Drop it, you're arguing illogically and I'm embarassed for you.",1
"And let's do away with these stinking debate forums!   So if it's silly to discuss that, what about brand of trucks? Would that also be silly?   V10 Gasoline or 6.0 Diesel?   How big a tire can you put on a stock 3/4 ton truck?   See, you're right. It's just silly.",1
Oh thats not politically kerect and secially wif the chosen one doing the world apology toure I don't see that going down.   Well lay a few on us sin baby. Give us the deal.,1
"What illogical tripe.   The above is factually not true.   It's also the garbage that the Word of Faith movement hangs on to get people to conform to their message.   Seriously, I act like a 13 year old quite often...I only WISH I'd become one...simply becasue youth is wasted on the young.   I also act like a God. Flexing my might and power on a whim.   I'm still waiting for adoration and worship.   There is no 'act' there either IS or IS NOT.",1
"No, billsco, I've never had an insight which would reveal the creationist mindset in the way you describe: I wouldn't mind seeing an occasional imp or two on my ceiling.   I've also wondered (like Waxy) about the motives of the scientists who at first patiently, and then satirically, address the ""arguments"" of the religious enthusiasts who so desperately want to trash evolution. Are the resident biologists performing an altruistic service or just entertaining spectators like me ?",1
well if you think the sun goes around the earth then its time for apocalypse.,1
And you think the British would do that?,1
"Oh really? Gun ownership allowed these ""lunatics"" as you call them, to become government dictators? If I owned 50 guns and 10,000 rounds of ammunition, you're saying I could run the government with an iron fist all by myself, just like that? Any random person can just appoint themselves God over the entire nation, without a single ounce of resistance just because they're armed?",1
"This brings up an interesting point, and that is that science is extremely limited. Using your logic, persons should not have believed in the fact that the earth is a round object floating in space before it was proven scientifically, even though it was a fact then, as it is now. This fact was written about in scripture long before science ""proved"" it, just as the description of the hydrological system was described in scripture long before scientists figured it out. THIS is where the evidence can be found for the validity of the Bible. When you find scripture after scripture of historical fact and scientific reference that is found to be accurate, you should tend to take is seriously. The problem with science is its arrogance. It's inability to see that truth can be found in other areas is a real handicap. Add to that theories like evolution that disguise themselves as science, and you have a real problem.   One does not stand on a train track with a train barreling down on them to ""prove"" they will die. This ""fact"" is usually taken to be reliable, even though that person hasn't ""proven"" it to be true through experimentation. If you need scientific proof for everything you believe, you have a real problem. If this were the case, no legal decision on guilt or innocence could be rendered in a court room, since the decision is usually rendered based on the preponderance of the evidence related to a crime that was commited in the past. We have the same problem with the origin of life and evolution of species - macro changes that supposedly occured in the past. As such, every availble form of investigation should be followed up on. This includes metaphysical possibilities. They can be investigated just as evolution is, buy the study of history, manuscripts, archeological methods and statistical and prophetic evidences. Both scientists and creationists are talking about investigation to find truth, and to self limit your investigative techniques is not only reckless, but might be a form of self delusion. Requiring truth to conform to your standards, as scientists of the past did, can either cause great delay in finding truth, or cause you to miss it entirely.",1
And you're accusing him of not debating properly? That's the best you can do?,1
He was probably an XXXXX to begin with then.,1
Just imagine Noah's checklist! There.,1
"Oh, well. Apparently you want to talk molecular chemistry whereas I was hoping to discuss organismic evolution. Too bad. Good luck with anyone who wants to debate your topic, but it just doesn't interest me.",1
"You believe that your interpretation of the Christian Bible is more correct than his, and he believes that his interpretation of the Christian Bible is more correct than yours. This is quite simple, but that's never really helped you see the problem before...   Yeesh. Even when I spell it out, he still can't keep it straight.   No, marc, you're looking at the wrong quote. Try reading what I write.   Yes, you can expect accusations of quote mining to be common when you commonly quote mine. Say, do you think these two things could possibly be related?   ""Concise and readable"" takes a backseat to accurate. As I said, Miller overemphasizes views outside the mainstream of atheism and tries to paint all of atheism with the same brush. In fact, he picks a single atheist to spend three paragraphs on, then moves past his exaggerated claim. And with good reason.   marc's impeccable reading comprehension strikes again. marc thinks I was responding to a different point, despite the clear explanation of his ""citation about atheists using evolutionary findings to support their concepts.""   I figure it's his latest attempt at a dodge. Ignorance and incomprehensible babbling has gotten old to him, apparently.   Considering atheists don't believe in the supernatural, there's nothing else left. Now tell me how your truism actually means anything.   Lewontin did not say to forbid access to the Bible or other texts. You simply assume that he said that because you want to build as much of a strawman as you possibly can. See, if you had just quoted Lewontin instead of trying to censor his words, maybe you would have understood. ... Then again, probably not. I keep forgetting that your Persecution switch is fused in the ""on"" position.   Yes, Lewontin mentions the New York Times... the home furnishing supplement of the New York Times, in metaphoric comparison to the stage set of The Honeymooners. But you don't have a problem with your blatant misrepresentation, do you? No, no, anything to brainwash the kiddies and advance your delusion of massive conspiracy...   If Miller truly does understand Lewontin's point, he does a pisspoor job of explaining it. Lewontin says to eliminate the irrational and employ the intellectual. Frankly, I see nothing wrong with this; why do you?   The best case you'll ever be able to make regarding Lewontin's claims in this book is that he believes that a certain path to truth is the most effective. You claim that your path to truth is the most effective. Once again, we have no reason to believe either one of you over the other based on these statements alone.   Which Dawkins books that promote atheism (and by atheism, I mean atheism, not evolution) are required reading in public schools? Cite specific instances and include evidence that the ACLU rejected the cases.   This coming from the person who omitted so much that I had to elaborate on and quote from the book multiple times? No thanks, I'd rather make fun of your whining and your incomprehensible comprehension.   Oh, you didn't read the part where he distanced himself from atheism? The one where he explained that evolution is compatible with theism? I guess you missed it... It was only, you know, the vast majority of the book.   Oh, good, I get to do this again! They're not Christians, just like Judge Jones isn't a Lutheran. (Your foot should still be in your mouth over that one, but you never learn.) They're all phonies, aren't they, marc? Lucky for marc, he can accurately assess people's belief systems without knowing the slightest thing about their beliefs. But I have this ""power,"" too:marc is an atheist. Sure, he says all this fundie Christian stuff, but he's really an atheist. I know it in my heart because my own belief system, infallible and based upon the teachings of God himself, tells me so. I know, because I know Christians, and marc's not a Christian. He's just a big phony.   And there you go... atheist. Clearly, I've correctly labeled you, and you are nothing but a false teacher.Pathetic, marc. Absolutely, positively pathetic.   In other words, marc has absolutely no resolution to this conundrum except to leave us with this oh-so-powerful exchange:   marc [about Miller]: ""He'd think differently if he interpreted the Bible the same way I do.""   Miller [about marc]: ""He'd think differently if he interpreted the Bible the same way I do.""   *ahem*....   marc [about Miller]: ""He'd think differently if he interpreted the Bible the same way I do.""   Miller [about marc]: ""He'd think differently if he interpreted the Bible the same way I do.""   Yes, I'd speculate that he doesn't have such trouble ""stomaching"" priests. After all, he shares their beliefs, and not those of preachers of other (e.g. Protestant) sects, many of whom refuse to recognize Catholicism as truly Christian...   Keep on diggin', marc. I love helping you reach new lows.",1
"Really? I have argued that God is an epic liar? Can you point out me arguing that at all you EPIC LIAR? Once again you are interpreting what I have said through that sick and unbalanced mind of yours, and then extrapolating that I am now arguing in favor of calling my God an EPIC LIAR. Is it absolutely impossible for you to debate issues while actually responding to what we really say rather than reading into what we say and redefining it to fit your warped and perverse perspective?   I mean, how sick and disturbed must your powers of reason and logic be for you to interpret my argument that Man, because of our linear view of time, is misreading the fact that God placed the stars in space at the same time much more recently than it appears to us to have occurred, that God is then an epic liar? Is God responsible for how we interpret the evidence when we attempt to do it apart from placing Him first and foremost into the equation? Is He the liar? Or are you who think like that deceiving yourselves by ignoring His place in the creation of time and space?   It is just completely beyond you to think from an honest and objective perspective, isn't it obvious child!   But for a more practical answer, imagine this. In the beginning, space was a void which spanned all of eternity. Only one object/energy source encompassed all of it from one end of its massive emptiness to the other, and that person was my God Yahweh. And in one second or minutes time, he spoke all of the stars that have ever existed, at different intensities and strengths, which causes them to burn out at different times. But he placed them at the very inner and outer limits of time and space at that time. Liken it to a farmer with a hand full of seeds. He pulls back his arm and throws those seeds to the end of the plot of land he is sowing at that time. To the ants on the ground, if they measured the time it would take to reach the farthest seed, it would represent a great distance, but to the farmer it was just one arms throw in time to disperse hundreds of seeds at one time.   Now here we are as finite creatures who can only see time from our linear perspective. Time is plastic. Our linear measure is man made for our convenience only. That you place what we call the measure of so called light years is arbitrary at best. But I am getting too deep for you and this discussion. The point is that our God has the ability to place the stars in every corner of not only what we again, arbitrarily call our universe, but throughout all of time and space.   But to we puny finite humans who have invented telescopes, it appears that these stars we are seeing today are ancient based on the perceived yet arbitrarily arrived at distance you believe they are from us. But since you are unable to even grasp the hugeness of our God, you also fail to appreciate that light years are a measure of distance rather than time. So by that definition alone, it is foolish to equate it with Earth time rather than Gods ability to reach any distant place in time and space and place stars there.",1
"And, I'm sure you ask yourself that very question before you unzip your fly and whip out your pecker, right?",1
"And could you be anymore of a drama queen about it, using the raw sweage thing. That is such a stretch of the truth. People straight and gay have been sodomizing for years and their are very few cases of any of e coli every year. Stop drama queening out!",1
What can ya expect when they killed free speech in favor of hate speech tribunals? Diversity at work maybe?,1
The Muslim invasion.   You guys need targets right?,1
"Because his, as a Christian, doesn't follow the Christian Bible to anywhere near the extent that mine does.   ""Quote mine"" - looks like that will be a common acusation here. If I keep things concise and readable, I'm quote mining. That quote wasn't about atheists using evolutionary findings to support their concepts, it was about atheists being comfortable with theistic evolution, far more than ""believers"" (creationists)   And that didn't have a thing to do with my point.   Again, it was irrelevent to my point. Atheists believe the only source of truth is secular - it goes without saying.   No, Lewontin didn't say to give people the power to discover the truth, he's saying to give elites like him the authority to point them to ""correct"" sources of truth. Read note #47 for chapter 6. Miller didn't misinterpret him at all. In note #47, Lewontin even mentioned the NY Times!   Because there are no ACLU lawsuits when Dawkin's book is required reading in public schools. We have to more and more, as atheism is established.   It's a deal, if you'll put a hold on lecturing me about reading comprension as you ignore very relevant notes in the rear of the book.   The one where he bragged about defeating Henry Morris, a Christian? (pp 172, 173)   Sure they were, Christians are always opposing Christianity! All they have to do is claim to be a Christian, and there's no way they could be a false teacher!   And that's all irrelevent, because pages 240-243 concern what happens in the world today, not what happened concerning creation. His feelings about God's interactions with the world today would be different if he had a basic knowledge of the Bible.   Even though the Bible says God did. His understanding of the Bible is very undeveloped and limited.   So you're implying that when he made his snide little comment about ""preachers"", he wasn't referring to priests? I've seen it all now.   As I said, I hope to learn if all theistic evolution does not believe in original sin. I'd like to know if all Catholics believe the creation story is nothing but a fairy tale.",1
BWAAAAAAAHAHAHAHAHAHAHAH![/quote]So you are saying that my DNA reflects the fact that I live in Texas?,1
"Crammed with them, sure, why not? It's easy, only a few million light years. The scientific method is used in weather forecasting too.",1
"Well said. It is a disgrace that the ""Flat Earth"" side of the argument never gets a look in geography lessons and that the ""Spontaneous Creation"" side of the argument never gets a look in when teaching kids about the life cycle of insects. Do you realise that they refuse to present the ""Cheese"" side of the argument when teaching about the moon these days? It's outrageous, how can our kids get a balanced education if such bias is allowed to continue!",1
Well that explains your anger.   I hope you are blessed with homeliness. Makes your commitment easier to keep. How old are you now?,1
"So,are you saying that all anti-gunners are fearless???   If so,,I must laugh.",1
You just say this because you want to murder helpless wromb-trapped human beings. You cannot just say you personally believe something in a debate.,1
"Except that that would be the author's words, not a direct quote. Notice the absence of quotation marks? Special Agent Newell never said ""17% came from the US"". The author has as much trouble with the stats as you. 17% of the total have been traced to the US. We don't know the percentage of the total that did indeed come from the US but is untraced or untraceable. See the difference?",1
"We have a terrorist supporter among us, objecting to restrictions on terrorists! Why do you hate America?",1
I presume that is a joke. Criminals have always had guns ban or not,1
"Well when the second amendment was written, ""modern military weapons"" were black powder rifles. Feel free to defend yourself with black powder rifles. In addition, what are the non-recreational benefits of guns. In other words, what would we lose by taking away automatic guns (since I know your manly self could never part with every weapon you own.)",1
"Sure let me have your sermon/propaganda of misinformation since it doesn't match the context of the Scriptures.   propaganda   n : information that is spread for the purpose of promoting some cause.   mis·in·form  Pronunciation Key (msn-fÃ´rm)   tr.v. mis·in·formed, mis·in·form·ing, mis·in·forms   To provide with incorrect information.   con·text Pronunciation Key (kntkst) n.   1. The part of a text or statement that surrounds a particular word or passage and determines its meaning.   2. The circumstances in which an event occurs; a setting.   And since your ""experience"" does not guarantee you to be an expert I will stick to the context which matches what I have said.   Job 32: 4 And Elihu had waited for Job with words, because they were older than he in days. 5 When Elihu saw that there was no answer in the mouth of the three men, then his anger burned. 6 And Elihu the son of Barachel the Buzite answered and said, I am young, and you are very aged; so I held back and was afraid to make my knowledge known to you. 7 I said, Days will speak, and many years will make wisdom known. 8 But it is a spirit in man giving them perception, even the breath of the Almighty. 9 It is not the great that are wise, nor the aged who perceive justice; 10 so then I say, Listen to me; I will declare my knowledge, I also.",1
"No, think about what you just said. A cancer cell doesn't mutate, it attacks healthy cells and causes the destruction of healthy tissue. Kinda like liberals in a healthy society - they are the free radicals of the body politic, huh... go figure.",1
Because deer don't live in Africa.,1
Mongoloid? Is this 1937?,1
"um... gee... its killing a baby... now.. before 8 weeks, its not in the form of a human being.. at 4 weeks, its a fish.. at 5.. its a rodent.. but after 8.. its in the shape of a human... there is no way around that fact.",1
"Seeing the article you linked to was written in 2002, over three years ago, do you think the author could perhaps incorporate the new data and rename his piece, ""Maybe There Is Some Truth About Pedophile Priests After All""?",1
"Prove something besides your ignorance? Homo-erectus and Neandertals differ in cranium size, bone size, bone structure, number of bones as well as the length and width of individual bones. I can see why people are laughing at you",1
"So, you are talking an incredibly expensive drug that MAY work 20% of the time when it is used.   Are they just letting these people die....giving them morphine for the pain and letting them waste away?   No",1
It also isn't a baby yet either. It is called a fetus.,1
Just so you don't shoot them!,1
"1) It's Habbit. You could at least take 5 seconds to get my name right.   2) Considering you and your friends are the ones complaining, not debating?   3) Actually, none of my posting privileges have my revoked. Try again.",1
and she would have been better by aborting the baby? That makes no sense. Instead of seeing your baby die naturally you would rather not look and kill it yourself. The same person died no matter how you look at it.,1
So you still choose to believe that someone who's a victim of crime should be punished as if they committed the crime themselves?,1
There you go. It's difficult to find which side of your mouth to talk out of when the facts are the facts!,1
And I just spent all that money on a new camera. Pity.,1
And when the President speaks in public we could hand out guns to the audience so that they could respond to any assassination attempt.,1
Oh!   Did you mean something like this in gun free France:   http://www.guardian.co.uk/internatio...ews+-+guardian   Those weapons were cheap and from an eastern block country. Machine guns are for sissy American felons. Real felons in gun free France use anti-tank weapons.,1
"BECAUSE I SAID SO!   LOL,... I'm so silly.   I just had to post it.   Seriously, I decided that I will actually construct my summary online, Iangb.   If you (or anyone else) cares to, you will be able to watch as I edit and construct my argument. It may be lengthy so keep it in mind that if I have to divide it up, and you post in the interim, I will have to delete this first half and move it to the end.   By the way,... other than working some things out in my head,... I don't have anything prepared to post. This will be a work in progress.   ... this will take quite a while. (Maybe days)   I see you are watching, and don't want you thinking this will be developing quickly.   I will let you know when I've concluded.   --Chuz   *** Note to Ian. In my attempt to compile my 'summary' I have realized that I never actually completed my arguments. It's kind of hard to summarize that which hasn't already been presented. So, my sumarization if you will- will now consists of two parts. First my arguments and then my summary.   WORK IN PROGRESS; The Argument   BIOLOGICALLY SPEAKING, A HUMAN INDIVIDUAL'S LIFE BEGINS AT CONCEPTION   Definitions;   A Begin Being Biologically Child Conception Egg Embryo Fetus Gamete Human Individual Life MetamorphosisOrganism Sperm Zygote-DICTIONARY.COM   A Begin Being Biologically Child Conception Egg Embryo Fetus Gamete Human Individual Life Metamorphosis Organism Sperm Zygote-- FREE DICTIONARY.COM   Child Due Process Clause Person --FINDLAW.COM   Links   Logic   A distinct Human organism   American College of Pediatricians   The Human Organism   When does a human individual's life begin   The Physiology of Aging   Human Growth and Aging   Wikipedia; LIFE   When Does Life Begin?   QUOTES;   SPERM; ""During fertilization, the nucleus of a sperm fuses with the nucleus of the much larger egg cell (the female reproductive cell) to form a new organism"".-The American Heritage® Science Dictionary   Barack Hussein Obama; ""We need fathers to recognize their responsibility doesn&#8217;t just end at conception.""   William Jefferson Clinton- ""If two cells join in the process that begins to make a human being, are they living? Answer? No one disputes that. "" and ""When does the soul enter the body so that to terminate the living organism amounts to killing a person? That is the question.""",1
"All sin undermines society, including illicit gay sex sin. Or have you forgotten Sodom and Gomorrah? Coming to a San Francisco bath house near you.",1
"So you deny that this man is a victim? Realize that the gunshot drew attention, and attention is something criminals don't want. Maybe without that gunshot, the guy would've been beaten to death. But I suppose you'd be happier, because at least the old man wasn't a gun owner. Or I suppose you think he should've let the criminal have the money; all that is needed for evil to triumph is for good men to do nothing.",1
"At your service:   Comparison   I could've just circled the whole thing, but this makes it clearer. Plus it's overall body shape is ""fatter""",1
And I didn't have to choose to be homosexual. It is a natural inclination. I chose not to hide or lie about who I am. However you are the one who seems to be under the delusion that being gay is a choice. Once again I ask you if it is just a choice then you choose to be gay this moment.,1
"Don't count on it. Republicans do not believe in equality, individual freedom, or human rights. They only kowtow to their religious right masters. If Republicans trully belived in individual freedom, equality, and human rights the would wholeheartedly support this legislation.",1
Oh? And what is the specific amount of pot you have to smoke before you become a drug crazed fiend?,1
"Not in matters of atheism. Tell me, when science discovers something that seems to agree with the 150 year old writings of Darwin, are the writings of Darwin disregarded? Or is that type of history trumpeted to the masses?",1
I thought you said that you had been following the converstaion. I guess you didn't understand any of it.,1
"Oh, WW, come on now. If you say something to me about how Vitality works, and I say 'that's a stupid / simple-minded idea', are you seriously telling me you wouldn't take that as a personal attack?",1
"Then 99% of creationists are not informed as far as I can tell. It seems that your position is that ""informed"" creationists are neo-Darwinists, fully accepting of the theories of evolution.",1
Atheists tend to ignore information they don't like also.,1
"Why you quoted me is questionable. What I posted was merely a series of mathematical equations proving that Hovind is completely full of ****. How you consider mathematical equations ""mockery"" I don't know, but more likely, you did not bother to watch the video. Instead, in your normal fashion, you simply ASSUMED what you wanted to believe and then went from there rather then actually looking at what it was and what it had to say.   Your post more accurately is towards the link that AA posted in defense of his beliefs (yet failed to realize was satirizing those beliefs). Furthermore, I'm not an atheist even though your poor definition wants me to be.",1
"And you don't have any picture. You have no idea of what recessive really means, do you. Actually, since the first observation of a black peppered moth in 1848, several other mutations have caused other variations of color in peppered moths. They are intermediate between the typica and the carbonaria, but they are extremely rare. These alleles form a hierarchy of dominence in which the carbonaria is the full dominant, and the typica is fully recessive.   Please define ""kind."" Please define ""variation."" Please explain the origin of this ""variation in kind.""",1
"Nothing like quoting experts willing to stick their scientific necks out, huh?   Or in your second quote:   ""But it now appears the warming from greenhouse gases has been offset by a strong cooling effect from dimming - in effect two of our pollutants have been cancelling each other out.   This means that the climate may in fact be more sensitive to the greenhouse effect than previously thought.""   Huh?",1
"Actually what sank that debate was a bunch of paleontologists from K state who started arguing for punctuated equilibrium. That was pretty much the end. I remember one board member was quoted as saying ""These are public schools. We are luck if we can teach the kids to read""",1
I think that I don't have quite enough Tobasco in my Bloody Mary.,1
Yep thats true.   There in separate buildings but right next to each other.   I see it being about as attractive as a crack house next to a school with a revolving door in front.,1
